Section,Category,Code,Question,A,B,C,D,Correct,Answer source
Written,Species: Chinese Water Deer,Q277,Which species of male deer has prominent tusks and no antlers?,Muntjac deer,Roe deer,Chinese water deer,Sika deer,C,Known (in app)
Written,Species: Chinese Water Deer,Q278,Which species of deer has scent glands in the groin (inguinal glands)?,Fallow,Sika,Chinese water deer,Roe,C,Known (in app)
Written,Species: Chinese Water Deer,Q279,"A deer is described to you as having black button eyes and nose with round ears, resembling a teddy bear. What species of deer is it likely to be?",Chinese water deer,Roe deer,Muntjac deer,Fallow deer,A,Known (in app)
Written,Species: Chinese Water Deer,Q280,During which month do Chinese water deer rut?,July,September,October,December,D,Known (in app)
Written,Species: Chinese Water Deer,Q281,Chinese water deer usually give birth during the period of?,March/April,May/June,August/September,All year round,B,Known (in app)
Written,Species: Chinese Water Deer,Q282,"Which species of deer often produce ""multiple births"" of three or more fawns?",Roe deer,Chinese water deer,Muntjac deer,Sika deer,B,Known (in app)
Written,Species: Chinese Water Deer,Q283,Chinese water deer does may have their first fawns at the age of?,Six months,One year old,Two years old,Three years old,B,Known (in app)
Large Game,Deer,D1,You stalk a deer that clearly sees you and does not take flight. Should you:,Think you are a good stalker,Leave it to get better,"Appreciating that this could be normal, even so suspect a diseased or wounded deer",Shoot it and leave it to decay naturally,,PROVIDE ANSWER
Large Game,Deer,D2,A deer in the wild shows no fear of humans when approached. Is this:,Because it has not seen you,Normal behaviour in winter months only,Normal behaviour for muntjac deer,Abnormal Behaviour,,PROVIDE ANSWER
Large Game,Deer,D3,A herd of deer in woodland have become used to human activity such as walkers and during the culling of these deer you can stalk in very close to these animals. Is this:,Abnormal behaviour for deer in the closed season,Normal behaviour for deer in the closed season,Normal behaviour for these deer,Abnormal behaviours at any time of year,,PROVIDE ANSWER
Large Game,Deer,D4,A roe deer senses you as you stalk through the wood and takes flight. Is this:,Normal behaviour,Abnormal behaviour,Unusual for roe deer,Normal as it is female,,PROVIDE ANSWER
Large Game,Deer,D5,"A red deer stag in October is seen chasing other deer, roaring, fighting and constantly urinating over itself. Is this behaviour:",Abnormal - a probable sign of rabies,Normal – they act like this all year round,Normal – it is typical rutting behaviours,Abnormal - a probable sign of a brain disease/Spongiform Encephalopathy,,PROVIDE ANSWER
Large Game,Deer,D6,In late July a roe buck is seen chasing a doe round and round a tree stump. Is this behaviour:,Normal – it is typical rutting behaviours,Abnormal - a probable sign of rabies,Normal – roe bucks act like this all year round,Abnormal - a probable sign of brain disease/Spongiform Encephalopathy,,PROVIDE ANSWER
Large Game,Deer,D7,A roe deer seen feeding on oilseed rape in winter appears to be blind and shows no fear of man. When it is dispatched the trained hunter should:,"Remove the head, pluck and label the carcass as correctly inspected",Deliver the carcass to the dealer un-eviscerated and with head on,Destroy the carcass as unfit for human consumption,Deliver the carcass to the dealer with its pluck and head with a note of the circumstances,,PROVIDE ANSWER
Large Game,Deer,D8,Two stags are fighting- one gores the other in the eye and the injured animal is shot. What should be done with the carcass?,It can only be sold if the injury is reported to the Animal and Plant Health Agency Service first,It is unfit for human consumption due to the damaged eye,It is unsafe to eat: no stag is injured fighting unless diseased or very old,It can be sold into the food chain after inspection in the normal way,,PROVIDE ANSWER
Large Game,Deer,D9,"Before a red deer stag is shot in late October, it appeared tired and listless. On inspection it has no fat, a shaggy coat covered in peat and urine and the hair on its belly is black and stinks. Are these symptoms:",Abnormal signs suggesting Chronic Wasting Disease,Normal signs at this time of year after rutting hard,Normal in red deer - all wild stags are like this all the year round,Highly abnormal - it must be a serious disease.,,PROVIDE ANSWER
Large Game,Deer,D10,A muntjac doe is shot on 10 December and is found about to give birth. Is this:,Quite normal and pregnancy has no adverse effect on the meat.,Highly abnormal and the carcass will not be safe to eat,Abnormal caused by sickness during the normal breeding period,Highly abnormal but there is no risk to human health,,PROVIDE ANSWER
Large Game,Deer,D11,"A dead wild deer exhibits a large distended rumen (stomach) on inspection, after a lengthy follow up. Would you suspect the animal?",Was dangerously infected with TB,Was seriously infested with internal parasites,Had been left too long before gralloching,Had been over feeding on new growth,,PROVIDE ANSWER
Large Game,Deer,D12,Swollen lymph glands and solid lumps in the lungs could indicate:,TB,Hydraulic tissue damage from the bullet track,A healthy deer,An old deer,,PROVIDE ANSWER
Large Game,Deer,D13,"Blisters on the lips, tongue and around and between the hooves could indicate:",An old deer,A healthy deer,Foot & Mouth Disease,A deer which lives in a damp wet area,,PROVIDE ANSWER
Large Game,Deer,D14,You shoot a deer which is limping. During carcass inspection you find small blisters between the hooves. You should:,Report the condition by telephone to the Animal and Plant Health Agency without delay,Put the whole carcass into your car and take it to the Animal and Plant Health Agency immediately,Dispose of it by burying the carcass at least 1 meter below ground as you do not need to inform anybody even though you cannot use it,Label the carcass as inspected recording the condition and send it to the dealer with its legs attached,,PROVIDE ANSWER
Large Game,Deer,D15,You inspect a deer carcass and find abnormal lymph nodes under the jaw and in the throat. This suggests:,Bovine Tuberculosis,Foot and mouth disease,Tooth cavities and an ear infection,Starvation,,PROVIDE ANSWER
Large Game,Deer,D16,The symptoms of anthrax include a grossly enlarged spleen and dark bleeding from every orifice. This disease:,Is common in UK deer.,Is not dangerous to man and can be safely ignored,Should be suspected whenever a deer is found to be in poor condition,Has never been reported in UK deer,,PROVIDE ANSWER
Large Game,Deer,D17,You witness a deer involved in a road traffic accident. With regard to food hygiene do you:,Take the carcass to a game dealer,Tell the driver of the car the carcass is ok to enter the food chain and he should sell the venison,Inform the local Authority for them to dispose of it,Offer to make sausages out of it for the driver,,PROVIDE ANSWER
Large Game,Deer,D18,A deer has a wound which has become fly blown and infected. This will:,Make the meat tough,Make the meat more tender,Possibly contaminate the carcass and render it unfit for human consumption,Always taint the whole carcass,,PROVIDE ANSWER
Large Game,Deer,D19,A deer which is very thin because it has not had enough to eat will be:,Perhaps suitable to enter the food chain after close inspection by a trained hunter,Good to eat because it does not have too much fat,Difficult to cook,Tender and tasty so it can be sold at a premium,,PROVIDE ANSWER
Large Game,Deer,D20,"At winters end, deer are often thin due to lack of food. At other times of the year deer which are thin should be:",Buried as soon as possible,Sent to the dealer with others in the hope that it will be accepted,Carefully examined and inspected to identify any possible cause,Eaten at home because it will not fetch a good price.,,PROVIDE ANSWER
Large Game,Deer,D21,The surface of a roe liver has a mottled appearance with hard white lumps. This would suggest:,The liver had been damaged by bullet fragments,Liver Fluke,A healthy deer,An old deer,,PROVIDE ANSWER
Large Game,Deer,D22,A Roe liver has thick white lining to the bile ducts and leaf like parasites in the bile ducts. This would suggest:,Liver Fluke,The liver had been damaged by bullet fragments,A healthy deer,An old deer,,PROVIDE ANSWER
Large Game,Deer,D23,A carcass is found to have many white grubs under the skin along its back. What are these likely to be?,Tick larvae,Ked larvae,Warble fly larvae,Ring worm,,PROVIDE ANSWER
Large Game,Deer,D24,The nasal bot fly parasite:,Is a major killer of young deer every year,Causes little discomfort to its deer host,Causes the deer persistent irritation and discomfort,Is easily got rid of by rubbing on a tree or post,,PROVIDE ANSWER
Large Game,Deer,D25,Which of the following statements is true about warble fly in deer?,It is found in red deer in Scotland,It is found in all deer in Scotland,It is common in red deer throughout the UK,It is common in all deer throughout the UK,,PROVIDE ANSWER
Large Game,Deer,D26,Which of these external parasites can carry Lyme Disease?,Lice,Head flies,Warble flies,Ticks,,PROVIDE ANSWER
Large Game,Deer,D27,You find some flattened insects scuttling rapidly through the deer's hair. What are they?,Lice,Ticks,Keds,Bot flies,,PROVIDE ANSWER
Large Game,Deer,D28,Lung worms are often found in wild roe deer. Symptoms include:,Clear cysts on the surface of the lungs,Purple inflammation throughout the lungs,Bleeding and clotted blood in the lung tissue,Whitish/pale grey solid patches in the lung tissue especially at lower edges,,PROVIDE ANSWER
Large Game,Deer,D29,A red hind shot in Scotland in February has many white maggots under the skin on its back. These are:,Warble fly larva – not dangerous to human health,Round worms – dangerous to human health,Bot fly – not dangerous to human health,Tapeworms – dangerous to human health,,PROVIDE ANSWER
Large Game,Deer,D30,On inspecting a deer pluck you find the liver is mottled and puckered and has liver flukes in the bile ducts but otherwise it is in good condition? Should you:,Reject the carcass and dispose of it correctly,Sell the carcass to your dealer noting it had liver fluke on your declaration,Immediately ring the Animal and Plant Health Agency to report this dangerous disease,Send the carcass to the game dealer with its pluck,,PROVIDE ANSWER
Large Game,Deer,D31,A deer is shot in summer and has a very heavy tick burden. Should you:,"Treat the carcass in the normal way, if it is in normal condition, but try to avoid getting bitten by ticks yourself",Reject the carcass as unfit for human consumption,Spray the carcass with fly spray to kill the ticks,Inform the Animal and Plant Health Agency,,PROVIDE ANSWER
Large Game,Deer,D32,"Numerous small, flat insects with six legs are seen running through the deer's hair as it hangs in the larder. These are:",Ticks – they suck blood and can carry diseases,Keds – they are not dangerous to human health,Lice – they may be a sign of ill-health in the deer,Blow flies – your larder is not fly-proof,,PROVIDE ANSWER
Large Game,Deer,D33,"You shoot a thin deer with a poor scruffy coat. On inspection, you find it is infested with small (2mm) reddish parasites with a dark line down their back. They are:",Lice which have no food safety consequence but may indicate the deer is in poor condition,Ticks which may bite humans but have no food safety consequence,Keds which do not bite humans and have no food safety consequence,Fleas which do not bite humans and have no food safety consequence,,PROVIDE ANSWER
Large Game,Deer,D34,"When preparing a roe buck trophy after selling the carcass to a dealer. On cutting the skull, you find several white grubs in the animal's nasal passage. You should:",Call the dealer and ask him to destroy the carcass immediately,Call the Animal and Plant Health Agency and report the matter,Do both a and b above,"Do nothing, as it signifies Nasal Bot Fly, which is not dangerous to human health.",,PROVIDE ANSWER
Large Game,Deer,D35,"During inspection of the pluck, you find a clear, walnut-sized, cyst loosely attached to the liver. What following action should you take?",Eat the carcass yourself and feed the offal to your dog,Destroy the whole carcass as unfit for sale,Retain the carcass and sample and report it to the Animal and Plant Health Agency,Note the fact on your declaration and sell the carcass in the normal way,,PROVIDE ANSWER
Large Game,Deer,D36,On inspecting the heart of a deer you have just culled you notice the heart is swollen and discoloured and the pericardium is not loose and lubricated around the heart. What should you do?,Ignore it and sell the carcass locally,Remove the heart note its condition on the declaration before sending to the game dealer,Sell it to the dealer telling him everything was ok,Incinerate the whole carcass and organs and stop culling in that area,,PROVIDE ANSWER
Large Game,Deer,D37,On inspecting the organs of a deer you have just culled you notice the liver is swollen and discoloured. What should you do?,Ignore it and sell the carcass locally,Remove the liver note its condition on the declaration before sending to the game dealer,Sell it to the dealer telling him everything was ok,Incinerate the whole carcass and organs and stop culling in that area,,PROVIDE ANSWER
Large Game,Deer,D38,On inspecting the organs of a deer you have just culled you notice the kidneys are swollen and discoloured. What should you do?,Ignore it and sell the carcass locally,Remove the kidneys note its condition on the declaration before sending to the game dealer,Sell it to the dealer telling him everything was ok,Incinerate the whole carcass and organs and stop culling in that area,,PROVIDE ANSWER
Large Game,Deer,D39,If lice are present which is the most likely area in which to notice them on a deer carcass?,Ears,Face,Groin,Rump,,PROVIDE ANSWER
Large Game,Deer,D40,"If the joint between the hock and canon bones is swollen, what would this suggest to you?",An old deer,A healthy deer,The joint is affected by arthritis,Plague,,PROVIDE ANSWER
Large Game,Deer,D41,You shoot a deer with a badly infected leg wound and it shows signs of infection throughout the carcass. Should you:,Ensure the infected leg is removed before butchering the remainder for sale,Sell the carcass because it is still good to eat,Only give the venison to someone who is going to eat it themselves,Dispose of the carcass in a recognised manner,,PROVIDE ANSWER
Large Game,Deer,D42,You shoot a deer with a deformed foot. Should you:,Reject the carcass as unfit for human consumption,Note the fact on your declaration,Only give the venison to some one who is going to eat it themselves,Ensure the deformed foot is removed before butchering the remainder for sale,,PROVIDE ANSWER
Large Game,Deer,D43,You shoot an old deer with a scruffy coat and a number of scabs and lesions all over the animal. In relation to food hygiene what would you do with this carcass?,It has a serious health problems and you should destroy the carcass by incineration,It cannot be sold but can be given away,It should be buried quickly,It can be sold after inspection in the normal way,,PROVIDE ANSWER
Large Game,Deer,D44,You shoot a Sika stag in winter with small antlers still in velvet. This suggests:,It has a serious health problems and should be destroyed,It cannot be sold but can be given away,It should be buried quickly,It may be sold after inspection in the normal way.,,PROVIDE ANSWER
Large Game,Deer,D45,"You shoot a roe doe, with two small antlers. Is this?",Abnormal and should be considered as a health risk,Normal,Abnormal but of no significance as a health risk,Abnormal and must be reported to Animal and Plant Health Agency,,PROVIDE ANSWER
Large Game,Deer,D46,A wild deer sees you approach and shows no fear. Is this:,Abnormal behaviours at any time of year,Normal behaviours for deer in the closed season,Normal behaviours at any time of the year,Abnormal behaviours for deer in the closed season,,PROVIDE ANSWER
Large Game,Deer,D47,"If you find blisters on the tongue and between the cleaves, what might that suggest to you?",The animal had been licking fertilizer bags,The animal had been feeding on thistles,Possible Foot & Mouth disease,The animal was suffering from swine fever,,PROVIDE ANSWER
Large Game,Deer,D48,An injured deer which was thought to have lost a foot in a fox snare has been seen around for several years. When shot the carcass:,Should be destroyed as unsafe to eat,Should be inspected and sold in the normal way if found to be otherwise healthy,Can only be fed to the dogs and not sold into the human food chain,Should be reported to the Animal and Plant Health Agency,,PROVIDE ANSWER
Large Game,Deer,D49,A young deer shot in early spring has diarrhoea. It is in reasonable condition for the time of year and you can find no indication of disease. You should:,Inform the Animal and Plant Health Agency,Reject the carcass and dispose of it,Leave the carcass in the field to avoid contaminating your larder,Send the carcass to the dealer in the normal way noting the condition on the declaration,,PROVIDE ANSWER
Large Game,Deer,D50,You shoot a roe buck with corkscrew antlers. You should:,Report the fact immediately to the Animal and Plant Health Agency,Inspect the animal carefully for signs of internal disease,Send the head and pluck to your dealer with the carcass,Reject the carcass as unfit for human consumption,,PROVIDE ANSWER
Large Game,Deer,D51,You shoot a roe doe in winter with small antlers in velvet. This suggests:,It has a serious hormone problems and should be destroyed,It counts as a buck and cannot be sold out of season,It can be sold after inspection in the normal way noting the condition on the declaration,It should be buried quickly,,PROVIDE ANSWER
Large Game,Deer,D52,If the retropharyngeal and mesenteric nodes are enlarged what might this suggest to you?,An old deer,Foot & Mouth Disease,A healthy deer,Suspect TB,,PROVIDE ANSWER
Large Game,Deer,D53,Bovine Tuberculosis is a notifiable disease – the most common symptoms are:,Loss of hair,"Enlarged and/or Infected lymph glands at the back of the throat, in the gralloch and/or in the pluck",Swollen and blistered feet and tongue,Blindness,,PROVIDE ANSWER
Large Game,Deer,D54,"If any or both kidneys are grossly enlarged with fluid, what might that suggest to you?",Hydronephrosis (a urinary blockage),Suspect TB,Suspect Anthrax,A normal kidney during periods of heavy rain,,PROVIDE ANSWER
Large Game,Deer,D55,If you suspected anthrax in a deer you had shot what should you do?,Ignore it and sell the carcass locally,Isolate carcass and inform Animal and Plant Health Agency without delay,Sell it to the dealer telling him everything was ok,Incinerate the whole carcass and organs and stop culling in that area,,PROVIDE ANSWER
Large Game,Deer,D56,When gralloching a deer you discover she is pregnant and the foetus has been dead for a long time. You should:,Sell the carcass to a dealer in the normal way after inspection,Only use the carcass for your own consumption,Dispose of the carcass properly - it should not enter the food chain.,Report the matter immediately to the Animal and Plant Health Agency Service,,PROVIDE ANSWER
Large Game,Deer,D57,"In late autumn/early winter, which internal organ is most likely to be encased in fat?",Spleen,Liver,Kidneys,Ovaries/testes,,PROVIDE ANSWER
Large Game,Deer,D58,If you observe a swollen retropharyngeal lymph node what should you do?,Cut it out and throw it away,Ignore it as carcass looks ok,Ignore it as the game dealer is only going to make sausages from the head and neck meat,Isolate the carcass from other carcasses and report to the Animal and Plant Health Agency,,PROVIDE ANSWER
Large Game,Deer,D59,"If the retropharyngeal and mesenteric nodes are enlarged, what might that suggest?",The animal has Bovine Tuberculosis,The animal had liver fluke,The animal had been feeding on thistles,The animal was suffering from lung worm,,PROVIDE ANSWER
Large Game,Deer,D60,You find a dead deer which looks in very poor condition and is bleeding from all body openings a dark foul smelling blood. What would you suspect and do in these circumstances.,Its common condition in UK deer ignore it and bury the carcass.,Suspect Anthrax and call Animal and Plant Health Agency straight away,Suspect a disease but leave the carcass there and tell no one,Is not dangerous to man and can be safely ignored and eaten,,PROVIDE ANSWER
Large Game,Deer,D61,You shoot a limping deer in October. During carcass inspection you find a badly bruised shoulder the result of a rutting injury. You should:,Report the condition by telephone to the Animal and Plant Health Agency without delay,Put the whole carcass into your car and take it to the local Animal and Plant Health Agency the next day,Dispose of it by burying the carcass at least 1 meter below ground as you do not need to inform anybody even though you cannot use it,Record the condition on the declaration and send it to the dealer in the normal way.,,PROVIDE ANSWER
Large Game,Deer,D62,You shoot a deer with a swollen knee joint on inspection you identify it is infected with septic arthritis. What should you do with that carcass?,"Labeled as correctly inspected, then delivered to the dealer",Delivered to the dealer un-eviscerated and with head on,Delivered to the dealer with its pluck and head with a note of the circumstances,Destroyed as unfit for human consumption,,PROVIDE ANSWER
Large Game,Deer,D63,"You shoot a deer with a clear nasal discharge and rub patches on the side of the head, on inspection you identify it is infested with nasal bot fly larvae. What should you do with that carcass?","Labeled as correctly inspected, then delivered to the dealer",Delivered to the dealer un-eviscerated and with head on,Delivered to the dealer with its pluck and head with a note of the circumstances,Destroyed as unfit for human consumption,,PROVIDE ANSWER
Large Game,Deer,D64,You observe a roe doe in Aug still retaining its previous year's winter coat. What would you suspect,Suspect infected with Bovine Tuberculosis,Seriously infested with internal parasites,Seriously infested with external parasites,Had been living on poor grazing,,PROVIDE ANSWER
Large Game,Deer,D65,"After gralloching deer in the field, which method reduces the risk of the environment contaminating the carcass?",Keeping knife cuts large,Avoiding dragging through dirty areas,Float it down the stream,Drag through wet areas to make it easy,,PROVIDE ANSWER
Large Game,Deer,D66,"When gralloching deer in the field, using small cuts helps to minimise?",Chemical contamination,Physical damage,Environmental contamination,Financial loses,,PROVIDE ANSWER
Large Game,Deer,D67,A deer shot incorrectly in the stomach can lead to:,Chemical contamination,Lower financial return for the carcass,Carcass contamination from gun oil in the barrel,Carcass contamination from gut contents,,PROVIDE ANSWER
Large Game,Deer,D68,The hunter has shot a deer that was facing him and the bullet has exited near its anus.The carcass is:,Perfectly safe for human consumption,OK to sell when it has been hosed out and trimmed,Required as evidence for the subsequent court case,Likely to be grossly contaminated and unfit for the human food chain,,PROVIDE ANSWER
Large Game,Deer,D69,"If venison is contaminated with gut contents, the risk to humans eating the meat is that they could:",Be offended by the tainted meat,Be infected with a disease like Tuberculosis,Become sick from bacterial food poisoning like e-coli.,Be infected with worms such as tape worm,,PROVIDE ANSWER
Large Game,Deer,D70,"You have to leave the carcass in the woods for 30 minutes in summer while you go to back to fetch a vehicle, you should:",Hang it up in the shade wrapped in muslin or a fly net,Bury the carcass with leaves to keep the flies off,Put it in a plastic sack in the shade to keep the flies off,Leave the carcass hanging in the sun to dry off the meat,,PROVIDE ANSWER
Large Game,Deer,D71,You are a short distance from your larder when you shoot a deer - it is best practice to:,Gralloch in the field because the carcass will go green if you delay,Drag it back to keep your vehicle clean,Load it into a vehicle and gralloch in the larder,Gralloch in the field because there is less problem disposing of the offal,,PROVIDE ANSWER
Large Game,Deer,D72,Why is the inspection of the carcass important?,To get the best price for the carcass,To ensure that the carcass is fit to enter the human food chain,So the carcass can be exported,To ensure you keep the best cuts of venison,,PROVIDE ANSWER
Large Game,Deer,D73,What is the maximum temperature that large game should be stored at?,3 °C,5 °C,7 °C,9 °C,,PROVIDE ANSWER
Large Game,Deer,D74,What is the correct chilling temperature of a deer carcass?,Progressively chilled to between 1 & 7°C,Progressively chilled to between 1 & 8°C,Progressively chilled to between 1 & 9°C,Progressively chilled to between 1 & 10°C,,PROVIDE ANSWER
Large Game,Deer,D75,A deer is killed during a drive on a pheasant shoot with a shotgun using No 6 shot. Can you legally sell the carcass?,No it had been taken by an illegal hunting method in the UK,Yes as long as you inspect the carcass,Yes as long as the shoot owner agrees it's your carcass,As long as you tell DEFRA first,,PROVIDE ANSWER
Large Game,Wild boar,W76,Which of the following diseases/conditions are particularly relevant to Wild Boar?,Avian Tb and Scrapie,Trichinella and Swine Fever,Warble fly and Sunburn,Phytophthora and Nasal Bot fly,,PROVIDE ANSWER
Large Game,Wild boar,W77,What are the hunter's responsibilities regarding Trichinella testing?,Trichinella testing is compulsory in all shot Wild Boar entering the food chain,"Trichinella testing is voluntary, kits are available from the FSA",Trichinella testing by the hunter is only required if the carcass will be delivered to an AGHE,Trichinella is not a disease relevant to Wild Boar,,PROVIDE ANSWER
Large Game,Wild boar,W78,How should notifiable diseases in Wild Boar be reported?,There is no requirement to report Notifiable diseases in Wild Boar,Only suspected Swine Fever needs to be reported,There is no need to report suspected Notifiable disease provided the carcass is buried immediately,All notifiable disease should be reported to the Defra Rural Services Helpline or nearest APHA Field Services office in Scotland,,PROVIDE ANSWER
Large Game,Wild boar,W79,Which food hygiene legislation is relevant to Wild Boar?,"All UK food hygiene regulations apply, together with the FSA Wild Game Guide",Only farmed wild boar are covered by food regulations,Only the Wild Game Guide applies,Food hygiene regs do not apply to Wild Boar,,PROVIDE ANSWER
Large Game,Wild boar,W80,For wild Boar carcasses being delivered by the hunter to an AGHE?,The carcass can be delivered head and feet off,the carcass can be delivered skinned,The carcass can be delivered frozen,The carcass must be delivered head & feet on with the diaphragm (or major part of it) intact,,PROVIDE ANSWER
Large Game,Wild boar,W81,There are many notifiable diseases. Which list below is most relevant to Wild Boar?,"Rift Valley Fever, Rinderpest, Scrapie, Sheep Pox, Equine Infectious Anaemia","African Swine Fever, Aujeszky's Disease, Classical Swine Fever, Swine Vesicular Disease, Foot and Mouth Disease","Enzootic Bovine Leukosis, Epizootic Haemorrhagic Virus Disease, Epizootic Lymphangitis, Equine Viral Arteritis","Glanders and Farcy, Goat Pox, Lumpy Skin Disease, Newcastle Disease",,PROVIDE ANSWER
Large Game,Wild boar,W82,"When gralloching a boar, you find a small, greenish liquid filled sack on the liver. What do you do?",Suspect a disease so condemn the carcass,Suspect disease so burn all internal organs,"Nothing, this is the gall bladder and is normal",Call APHA to let them know what you have found,,PROVIDE ANSWER
Large Game,Wild boar,W83,Which of the following best describes a boars hoofprint,Small with pointed ends,Large with pointed ends,"Large with 3 visible ""toeprints""","Large, rounded and often with 2 smaller prints at the rear from dew claws.",,PROVIDE ANSWER
Large Game,Wild boar,W84,How do we test for Trichinella in a boar carcass?,Cook and eat a small piece of meat to see if we get sick,Take a sample of the boars haunch to be sent for testing,"Take a sample of the boars diaphragm, tongue or foreleg and send for testing","We don't need to, there's no chance boar in the UK can carry trichinella",,PROVIDE ANSWER
Large Game,Wild boar,W85,Which of the following describes the Trichinosis disease?,Caused by a parasitic worm living in the muscles,Caused by a virus,Caused by bacteria in the boars mouth,Caused by poor carcass handling,,PROVIDE ANSWER
Large Game,Wild boar,W86,"If you are unable to take a Trichinella sample from the diaphragm, where else is acceptable to sample?",The foreleg and back of the tongue,The ear tissue,The intestines,The snout,,PROVIDE ANSWER
Hygiene,Hygiene,H1,You have been instructed to immediately cull a deer on a field which has recently been spread with slurry. What would you do to comply with food hygiene regulations?,Shoot and gralloch the animal in the field and sell to the game dealer as normal,Shoot the deer but reject the carcass because of potential contamination,Cull the deer and wash the carcass down to make it fit to go in the food chain,"Wait until the deer has moved off the field, then cull it and treat it as normal",B,Known (FSA highlights)
Hygiene,Hygiene,H2,"Ideally, in the field you should try to hang a deer when gralloching because?",It stops you getting back ache,Reduces the risk of environmental contamination,Reduces risk of fly strike,Encourages external parasites to drop off naturally,B,Known (FSA highlights)
Hygiene,Hygiene,H3,Shot game that enters a water course is:,Less likely to be damaged,Safe as any contamination will wash off,Likely to have bacteria transmitted to the carcass,Safe as they are classed as potable water,C,Known (FSA highlights)
Hygiene,Hygiene,H4,Water required to keep a game larder and utensils clean can come from:,Collected rainwater,A water course or lake,Any spring or stream,A potable water supply,D,Known (FSA highlights)
Hygiene,Hygiene,H5,Soil and plant debris from the countryside:,Can contaminate game meat with bacteria,Is what makes game organic and is not dangerous,Cannot transfer disease to meat or other animals,Can make game gritty to eat but is not dangerous,A,Known (FSA highlights)
Hygiene,Hygiene,H6,"You are asked to collect game carcasses with your vehicle which has been carrying a chemical sprayer, a chainsaw and petrol you should:",Thoroughly wash your vehicle out then collect the game,Put the game on some fresh leaves or straw,Just put it in the back of the vehicle regardless,Put the game in plastic bags in the back of the vehicle,A,Known (FSA highlights)
Hygiene,Hygiene,H7,Before loading carcasses into the back of a pick-up you should:,Put a good layer of straw down,Clean out the back and sterilise,Use clean hessian or plastic seed sacks to absorb the blood,Push the spare petrol can aside so you can load dogs and the game,B,Known (FSA highlights)
Hygiene,Hygiene,H8,You shoot 3 Fallow deer and 2 Muntjac on a morning stalk. Can you transport all of the deer together in your vehicle?,Yes as long as you apply hygienic practices for transporting carcasses,No species must be separated for transporting,No not in the same vehicle as there is a risk of cross contamination,As long as your game dealer agrees,A,Known (FSA highlights)
Hygiene,Hygiene,H9,You shoot several ducks of different species on a morning flight. Can you transport all of the carcasses together in your vehicle?,Yes as long as you apply hygienic practices for transporting carcasses,No species must be separated for transporting,No not in the same vehicle as there is a risk of cross contamination,As long as your game dealer agrees,A,Known (FSA highlights)
Hygiene,Hygiene,H10,The rule of storing fuel in a game larder is:,It is fine to do so if there is no game in the larder at the same time,The fuel is kept away from any game hanging up,You scrub out the game larder properly afterwards before using it for game,You should never store fuel in the game larder,D,Known (FSA highlights)
Hygiene,Hygiene,H11,A carcass stored in a garden shed for two days will be?,A risk to human health,Better tasting than one in a chiller,Worth less when offered for sale,Only fit for sausage meat,A,Known (FSA highlights)
Hygiene,Hygiene,H12,What is a zoonosis?,A disease transmittable from wild animals to cattle,A disease transmittable from plants to animals,A disease transmittable from mammals to birds,A disease transmittable from animals to humans,D,Known (FSA highlights)
Hygiene,Hygiene,H13,Identify the zoonotic diseases from the groups listed below:,"Yellow fever, Diphtheria, Polio, Cholera and Plague.","Foot rot, arthritis, dermatitis, sway back and laminitis:","Ticks, Keds, Lice, Warble fly and Nasal Bot fly","TB, Rabies, Brucellosis and Avian influenza",D,Known (FSA highlights)
Hygiene,Hygiene,H14,Which of the following notifiable diseases can be transmitted to humans from animals?,"Liver fluke, lung worm, nasal bot, warble","TB , Brucellosis, Rabies and psittacosis",Measles,Yellow fever,B,Known (FSA highlights)
Hygiene,Hygiene,H15,If bacteria from the environment get into game meat it could?,Be detected and the meat thrown away,Cause no harm to health,Cause serious food poisoning,Only harm the young and vulnerable,C,Known (FSA highlights)
Hygiene,Hygiene,H16,What is the most suitable material for lining a game larder?,Oak panelling,Lime washed brick walls,"Smooth, light in colour, impervious materials",Unpainted thermal blocks,C,Known (FSA highlights)
Hygiene,Hygiene,H17,When preparing game you damage a work surface. You should:,Repair it as soon as possible,Wait until you get time before repairing the damage,Wait until an EHO spots the damage,Cover it up and hope that it won’t get spotted,A,Known (FSA highlights)
Hygiene,Hygiene,H18,Which of the following do not meet the hygiene standards for game larders?,Cleanable hanging facilities,"A segregated hanging area, stainless steel fixtures and fittings",Wooden handled knives and blocks,A well ventilated brick building with good lighting,C,Known (FSA highlights)
Hygiene,Hygiene,H19,How often should you check your larder temperature?,Daily,Weekly,Only during cold weather,Only during hot weather,A,Known (FSA highlights)
Hygiene,Hygiene,H20,"Why should larders have impervious ceilings, floors and walls?",So you can write clearly on the wall,To stop flies settling,To keep the larder cool,So the larder can be easily cleaned and sanitized,D,Known (FSA highlights)
Hygiene,Hygiene,H21,What material should be used for larder knife handles:,Wood,Plastic,Bone,Rubber,B,Known (FSA highlights)
Hygiene,Hygiene,H22,Which is the best method of cleaning a larder knife?,"Wash, rinse, and dry",Disinfect and dry with a towel,Rinse and dry with a cloth,"Wash, sanitise, and leave to dry",D,Known (FSA highlights)
Hygiene,Hygiene,H23,Larder tools and equipment are cleaned:,After each use and before starting a new carcass,Regularly once every two weeks,At the beginning and end of the shooting season,Only when heavily soiled,A,Known (FSA highlights)
